name,category,catalog_group,catalog_file,entry_anchor,availability,stat_baseline,cr,size,creature_type,ac,hp,speed,str,dex,con,int,wis,cha,habitat,elyndrian_regions,campaign_status,magical_dependency,dead_zone_behavior,recommended_party_levels,suitable_gate_city,strengths_advantages,weaknesses_disadvantages,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,verification,physical_viability,connection_severance,dm_adjudication
Giant Vulture,Natural Wildlife/Southern-Plains Wildlife,natural_ecology,catalog/natural_ecology/Southern_Plains_Wildlife.md,giant-vulture,5e and 5.5e,Basic Rules (2014),1,Large,Beast,10,22,"10 ft., fly 60 ft.",15,10,15,6,12,7,"Desert, grassland, hill",Southern badlands; open plains; cliffs and isolated roads,Natural,None,Functions normally.,2-4 in groups,Ravensport region,Pack Tactics; advantage on sight/smell Perception; flight; understands Common,Very low AC; poor Dexterity; vulnerable when grounded,None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Wasp,Natural Wildlife/Aerial and Cliff-Dwelling Wildlife,natural_ecology,catalog/natural_ecology/Aerial_and_Cliff_Dwelling_Wildlife.md,giant-wasp,5e and 5.5e,Basic Rules (2014),1/2,Medium,Beast,12,13,"10 ft., fly 50 ft.",10,14,10,1,10,3,"Forest, grassland, urban",Central forests; southern plains; orchards; old structures,Natural,None,Functions normally.,1-3,Faerindel; Ravensport,Fast flight; venom can paralyze at 0 HP,Low HP and mental scores; nest-defense behavior is predictable,None,None,None,None,Normal senses unless noted,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Wolf Spider,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,giant-wolf-spider,5e and 5.5e,Basic Rules (2014),1/4,Medium,Beast,13,11,"40 ft., climb 40 ft.",12,16,13,3,12,4,"Forest, grassland, hill, underground",South; forest floors; rocky slopes; shallow caves,Natural,None,Functions normally.,1-2,Faerindel; Ironforge,Spider Climb; Web Sense/Walker; high Stealth; venom,Low HP and mental scores,None,None,None,None,Blindsight 10 ft.; Darkvision 60 ft.; Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Gibbering Mouther,Planar and Escaped/Minor and Moderate Gate Incursions,gate_incursions,catalog/gate_incursions/Minor_and_Moderate_Gate_Incursions.md,gibbering-mouther,5e and 5.5e,Basic Rules (2014),2,Medium,Aberration,9,67,"10 ft., swim 10 ft.",10,8,16,3,10,6,Underground,Contained alien specimen; organic cargo accident; gate emergence,Planar or escaped,None under physical-aberration ruling,Functions normally under the proposed physical-process ruling.,2-4,Ironforge; Ravensport,Gibbering can confuse; Aberrant Ground restricts movement; blinding spittle; high HP,"Extremely low AC, speed and mental scores",None,None,None,Prone,Darkvision 60 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Gray Ooze,Natural Ecology/Approved Nonmagical Oozes,natural_ecology,catalog/natural_ecology/Approved_Nonmagical_Oozes.md,gray-ooze,5e and 5.5e,Basic Rules (2014),1/2,Medium,Ooze,8,22,"10 ft., climb 10 ft.",12,6,16,1,6,2,"Underground, sewer, ruin",Mines; sewers; abandoned facilities; industrial drains; deep caverns,Approved unintelligent nonmagical organism,None,"Functions normally. Acid, engulfing, splitting, and corrosion are physical unless the DM rules a particular version otherwise.",1-3,Ironforge; Ravensport; Deepanvil,Corrodes metal; False Appearance; amorphous movement,Very slow; low AC and mental scores,None,"Acid, Cold, Fire",None,"Blinded, Charmed, Deafened, Exhaustion, Frightened, Prone",Blindsight 60 ft. (blind beyond); Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None; oozes have no creator connection unless a specific encounter adds one.,DM determines encounter-specific exceptions.
Green Hag,Planar and Escaped/Fey and Magical Wilderness Creatures,planar_and_magical,catalog/planar_and_magical/Fey_and_Magical_Wilderness_Creatures.md,green-hag,5e and 5.5e,Basic Rules (2014),3,Medium,Fey,17,82,"30 ft., swim 30 ft.",18,12,16,13,14,14,"Feywild, forest, wilderness",Faerindel; Central Forest Belt; gate-adjacent forests,"Planar visitor, resident, or escaped fey",High,"Spellcasting, illusion, invisibility, coven links, and magical influence fail; claws, mimicry, speech, and swimming remain.",3-5,Faerindel,High AC/HP; illusions; invisibility; mimicry; amphibious; manipulative intelligence,Most deception magic removed in dead zones,None,None,None,None,Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,"Magical creator, master, home-tree, or remote communication links are severed when present.",DM determines duration and secondary consequences.
Green Slaad,Planar and Escaped/Severe Gate Incursions,gate_incursions,catalog/gate_incursions/Severe_Gate_Incursions.md,green-slaad,5e and 5.5e,Basic Rules (2014),8,Large,Aberration (Shapechanger),16,127,30 ft.,18,15,16,11,8,12,Limbo,Intelligent infiltrator; bargaining traveler; planned breach,Planar,High,"Spellcasting, Shapechanger, Regeneration and Magic Resistance are suppressed; physical attacks remain.",8-10,Faerindel; Ravensport,Spellcasting; Shapechanger; Regeneration; Magic Resistance advantage; broad resistances,Poor Wisdom; substantially weakened in dead zones,None,"Acid, Cold, Fire, Lightning, Thunder",None,None,Darkvision 60 ft.; Passive Perception 12,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Hell Hound,Planar and Escaped/Minor and Moderate Gate Incursions,gate_incursions,catalog/gate_incursions/Minor_and_Moderate_Gate_Incursions.md,hell-hound,5e and 5.5e,Basic Rules (2014),3,Medium,Fiend,15,45,50 ft.,17,12,14,6,13,6,"Mountain, Lower Planes, underground",Gate hunting pack; smuggled guard; deliberate release,Planar or escaped,High,Fire Breath and supernatural fire are suppressed; bite remains; fiendish drain applies.,3-5,All,Fire immunity; Pack Tactics; breath weapon; advantage on hearing/smell Perception,Low mental scores; weakened heavily in dead zones,None,None,Fire,None,Darkvision 60 ft.; Passive Perception 15,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Helmed Horror,Planar and Escaped/Magically Animated Constructs and Objects,constructs_and_animated,catalog/constructs_and_animated/Magically_Animated_Constructs_and_Objects.md,helmed-horror,5e and 5.5e,Monster Manual (2014),4,Medium,Construct,20,60,"30 ft., fly 30 ft.",18,13,16,10,10,10,"Constructed, urban, facility",Ravensport trade; Ironforge workshops; Faerindel estates; gate facilities,Magically animated construct,Extreme,Animation ceases and it becomes empty armor and weaponry. Exact timing is set by the DM.,4-6,All,Extremely high AC; flight; Magic Resistance; selected spell immunities,Defining defenses vanish with animation; limited social intelligence,None,"Bludgeoning, Piercing, Slashing from nonmagical attacks not made with adamantine","Force, Necrotic, Poison","Blinded, Charmed, Deafened, Frightened, Paralyzed, Petrified, Poisoned, Stunned",Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, amulet, telepathic, command, and stored-spell connections are severed immediately.",DM decides shutdown timing and whether a core radius sustains or restores animation.
Hezrou,Planar and Escaped/Severe Gate Incursions,gate_incursions,catalog/gate_incursions/Severe_Gate_Incursions.md,hezrou,5e and 5.5e,Basic Rules (2014),8,Large,Fiend (Demon),16,136,30 ft.,19,17,20,5,12,13,Abyss,Heavy gate assault; line breaker; evacuation blocker,Planar,High,Magical defenses are suppressed; physical attacks and biological stench remain; drain applies.,8-10,Ravensport; Ironforge,High HP/Constitution; Stench; Magic Resistance advantage; broad defenses,Low Intelligence; no ranged attack; large target,None,"Cold, Fire, Lightning; Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,Poisoned,Darkvision 120 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Homunculus,Planar and Escaped/Magically Animated Constructs and Objects,constructs_and_animated,catalog/constructs_and_animated/Magically_Animated_Constructs_and_Objects.md,homunculus,5e and 5.5e,Basic Rules (2014),0,Tiny,Construct,13,5,"20 ft., fly 40 ft.",4,15,11,10,10,7,"Constructed, urban, facility",Ravensport trade; Ironforge workshops; Faerindel estates; gate facilities,Magically animated construct,Extreme,Animation ceases and it becomes inert created tissue or crafted material. Exact timing is set by the DM.,1-2 or utility,All,Flight; telepathic master bond; poison bite; useful scout,Only 5 HP; bond is severed and magical life ends,None,None,Poison,"Charmed, Poisoned",Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, amulet, telepathic, command, and stored-spell connections are severed immediately.",DM decides shutdown timing and whether a core radius sustains or restores animation.
Hunter Shark,"Natural Wildlife/Aquatic, Wetland and Coastal Wildlife",natural_ecology,catalog/natural_ecology/Aquatic_Wetland_and_Coastal_Wildlife.md,hunter-shark,5e and 5.5e,Basic Rules (2014),2,Large,Beast,12,45,swim 40 ft.,18,13,15,1,10,4,"Coastal, underwater",Deeper Azure Sea; shipping lanes; harbor approaches,Natural,None,Functions normally.,2-4,Ravensport,Blood Frenzy grants advantage against wounded targets; blindsight; strong bite,Cannot breathe air; no land movement; limited tactics,None,None,None,None,Blindsight 30 ft.; Passive Perception 12,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Hyena,Natural Wildlife/Southern-Plains Wildlife,natural_ecology,catalog/natural_ecology/Southern_Plains_Wildlife.md,hyena,5e and 5.5e,Basic Rules (2014),0,Medium,Beast,11,5,50 ft.,11,13,12,2,12,5,"Grassland, hill",Southern plains; dry hills; caravan routes,Natural,None,Functions normally.,1-2 in packs,Ravensport region,Pack Tactics; fast; good Perception,Very low HP; poor Intelligence and Charisma,None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Ice Mephit,Planar and Escaped/Minor Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Minor_Elemental_Gate_Creatures.md,ice-mephit,5e and 5.5e,Basic Rules (2014),1/2,Small,Elemental,11,21,"30 ft., fly 30 ft.",7,13,10,9,11,12,"Elemental planes, gate facilities",Northern gate; frozen cargo; refrigeration failure,Planar elemental gate creature,Extreme,Magical elemental body collapses; leaves ordinary ice and meltwater. Exact timing is set by the DM.,1-3 in groups,Ironforge; Ravensport; Faerindel,Cold breath; death burst; flight; fog cloud,Bludgeoning and fire vulnerability; low AC,"Bludgeoning, Fire",None,"Cold, Poison",Poisoned,Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Imp,Planar and Escaped/Minor and Moderate Gate Incursions,gate_incursions,catalog/gate_incursions/Minor_and_Moderate_Gate_Incursions.md,imp,5e and 5.5e,Basic Rules (2014),1,Tiny,Fiend (Devil),13,10,"20 ft., fly 40 ft.",6,17,13,11,12,14,"Planar, adaptable",Scout; infiltrator; saboteur; hidden passenger,Planar,High,"Invisibility, Shapechanger and magical defenses are suppressed; sting and flight remain; drain applies.",2-4,All,Invisibility; Shapechanger; Magic Resistance advantage; Devil's Sight; strong Stealth and social skills,Very low HP/Strength; weakened severely in dead zones,None,"Cold; Bludgeoning, Piercing, Slashing from nonmagical attacks not silvered","Fire, Poison",Poisoned,Darkvision 120 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Invisible Stalker,Planar and Escaped/Severe Gate Incursions,gate_incursions,catalog/gate_incursions/Severe_Gate_Incursions.md,invisible-stalker,5e and 5.5e,Basic Rules (2014),6,Medium,Elemental,14,104,"50 ft., fly 50 ft. (hover)",16,19,14,10,15,11,"Elemental Air, summoned",Assassin; commanded tracker; deliberate operation,Planar,Extreme,"Magical elemental body loses cohesion and dies, dissipates, or becomes inert matter; exact timing is set by the DM.",6-8,All,Permanent invisibility; Faultless Tracker; hover flight; exceptional Stealth/Perception; many immunities,Dead zones may destroy or neutralize it; modest AC,None,"Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",Darkvision 60 ft.; Passive Perception 18,Verified planning baseline,Not self-sustaining in a dead zone,"Any summoner, master, or planar command link is severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Iron Cobra,Planar and Escaped/Clockwork Construct Adaptation Chassis,constructs_and_animated,catalog/constructs_and_animated/Clockwork_Construct_Adaptation_Chassis.md,iron-cobra,5e,Mordenkainen Presents: Monsters of the Multiverse,4,Medium,Construct,18,45,30 ft.,12,16,14,3,10,1,"Constructed, workshop, facility",Ironforge; Deepanvil; imported gate machinery,Official magical construct and possible chassis for a separate nonmagical Elyndrian variant,Extreme in official form,Official magical version becomes inert. A separately approved mechanical variant may function normally.,Varies by CR,Ironforge; Deepanvil,Very high AC; poison delivery options; compact assassin chassis,Low mental scores; official animation and special poisons require review,None,None,"Poison, Psychic","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Darkvision 60 ft.; Passive Perception 10,Supplement planning chassis; verify exact owned D&D Beyond version before use.,Official version is not self-sustaining; a redesigned mechanical variant may be.,Official magical command and creator connections are severed. Mechanical programming would require a separate approved entry.,DM approval is required before treating any adaptation as nonmagical.
Iron Golem,Planar and Escaped/Magically Animated Constructs and Objects,constructs_and_animated,catalog/constructs_and_animated/Magically_Animated_Constructs_and_Objects.md,iron-golem,5e and 5.5e,Basic Rules (2014),16,Large,Construct,20,210,30 ft.,24,9,20,3,11,1,"Constructed, urban, facility",Ravensport trade; Ironforge workshops; Faerindel estates; gate facilities,Magically animated construct,Extreme,Animation ceases and it becomes inert iron machinery or statue. Exact timing is set by the DM.,14-18,All,Exceptional AC/HP; fire absorption; poison breath; huge damage; Magic Resistance,Very low Dexterity and mental scores; extremely expensive and conspicuous,None,None,"Fire, Poison, Psychic; Bludgeoning, Piercing, Slashing from nonmagical attacks not made with adamantine","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Darkvision 120 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, amulet, telepathic, command, and stored-spell connections are severed immediately.",DM decides shutdown timing and whether a core radius sustains or restores animation.
Killer Whale,"Natural Ecology/Freshwater, Marsh, and Deep-Water Wildlife",natural_ecology,catalog/natural_ecology/Freshwater_Marsh_and_Deep_Water_Wildlife.md,killer-whale,5e and 5.5e,Basic Rules (2014),3,Huge,Beast,12,90,swim 60 ft.,19,10,13,3,12,7,"Ocean, cold coast",Frost Sea; open Azure Sea; coastal migration routes,Natural,None,Functions normally.,3-5,Ravensport; Ironforge coast,Large HP pool; echolocation; high swim speed; strong bite,Cannot breathe air; echolocation fails while deafened; no land movement,None,None,None,None,Blindsight 120 ft.; Passive Perception 13,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None by default.,DM determines encounter-specific exceptions.
Kruthik Hive Lord,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,kruthik-hive-lord,5e,Mordenkainen Presents: Monsters of the Multiverse,5,Large,Monstrosity,20,102,"40 ft., burrow 20 ft., climb 40 ft.",19,16,17,10,14,10,"Desert, underground","Mature hive beneath mine, warehouse, or gate facility",Planar invasive,None,Functions normally.,5-7,Ravensport; Ironforge,Very high AC; Pack Tactics; Tunneler; long reach; ranged spikes; acid spray,Hive collapse or migration likely after its death; limited magical defenses,None,None,None,None,Darkvision 60 ft.; Tremorsense 60 ft.; Passive Perception 18,Supplement baseline verified from D&D Beyond reference,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Lion,Natural Wildlife/Southern-Plains Wildlife,natural_ecology,catalog/natural_ecology/Southern_Plains_Wildlife.md,lion,5e and 5.5e,Basic Rules (2014),1,Large,Beast,12,26,50 ft.,17,15,13,3,12,8,"Grassland, hill",Southern grasslands; rocky hills,Natural,None,Functions normally.,1-3,Ravensport region,Pack Tactics; Pounce; advantage on smell; strong Stealth; running leap,Low AC and mental scores; relies on group tactics,None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Magma Mephit,Planar and Escaped/Minor Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Minor_Elemental_Gate_Creatures.md,magma-mephit,5e and 5.5e,Basic Rules (2014),1/2,Small,Elemental,11,22,"30 ft., fly 30 ft.",8,12,12,7,10,10,"Elemental planes, gate facilities",Ironforge breach; molten-metal accidents; volcanic cargo,Planar elemental gate creature,Extreme,Magical elemental body collapses; leaves cooling slag or brittle rock. Exact timing is set by the DM.,1-3 in groups,Ironforge; Ravensport; Faerindel,Fire breath; death burst; heat metal; flight,Cold vulnerability; low AC and Intelligence,Cold,None,"Fire, Poison",Poisoned,Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Magmin,Planar and Escaped/Minor Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Minor_Elemental_Gate_Creatures.md,magmin,5e,Monster Manual (2014),1/2,Small,Elemental,14,9,30 ft.,7,15,12,8,11,10,"Elemental planes, gate facilities",Forge infestation; furnace escape; deliberate arson,Planar elemental gate creature,Extreme,Magical elemental body collapses; leaves cooling slag and ash. Exact timing is set by the DM.,1-3 in groups,Ironforge; Ravensport; Faerindel,Ignited illumination; touch ignites objects; explosive death,Very low HP; cold vulnerability; dangerous around flammables,Cold,None,Fire,Poisoned,Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Mammoth,Natural Wildlife/Hoofed Animals and Megafauna,natural_ecology,catalog/natural_ecology/Hoofed_Animals_and_Megafauna.md,mammoth,5e and 5.5e,Basic Rules (2014),6,Huge,Beast,13,126,40 ft.,24,9,21,3,11,6,Arctic,Remote Northern Crown tundra and snow valleys,Natural,None,Functions normally.,6-8; lower levels as hazard,Ironforge,Huge HP pool; Trampling Charge; exceptional Strength and Constitution,Low Dexterity and mental saves; enormous target; poor maneuverability in tight spaces,None,None,None,None,Normal senses unless noted,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Manticore,Planar and Escaped/Minor and Moderate Gate Incursions,gate_incursions,catalog/gate_incursions/Minor_and_Moderate_Gate_Incursions.md,manticore,5e and 5.5e,Basic Rules (2014),3,Large,Monstrosity,14,68,"30 ft., fly 50 ft.",17,16,17,7,12,8,"Arctic, coast, grassland, hill, mountain",Aerial gate predator; intelligent raider; escaped dangerous specimen,Planar,None,Functions normally.,3-5,Ironforge; Ravensport,Flight; three attacks; long-range tail spikes; enough intelligence to use terrain,Moderate AC; limited tail-spike supply; poor mental saves,None,None,None,None,Darkvision 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Meenlock,Planar and Escaped/Fey and Magical Wilderness Creatures,planar_and_magical,catalog/planar_and_magical/Fey_and_Magical_Wilderness_Creatures.md,meenlock,5e,Volo’s Guide to Monsters,2,Small,Fey,15,31,30 ft.,7,15,12,11,10,8,"Feywild, forest, wilderness",Faerindel; Central Forest Belt; gate-adjacent forests,"Planar visitor, resident, or escaped fey",High,"Telepathy, fear effects, and shadow teleportation fail; physical body and claws remain.",2-4,Faerindel,Fear aura; telepathy; paralysis claws; shadow teleportation,Low Strength and Charisma; loses coordination and fear tools in dead zones,None,None,None,Frightened,Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,"Magical creator, master, home-tree, or remote communication links are severed when present.",DM determines duration and secondary consequences.
Merrow,Planar and Escaped/Intelligent Aquatic and Magical Water Threats,planar_and_magical,catalog/planar_and_magical/Intelligent_Aquatic_and_Magical_Water_Threats.md,merrow,5e and 5.5e,Basic Rules (2014),2,Large,Monstrosity,13,45,"10 ft., swim 40 ft.",18,10,15,8,10,9,"Coastal, underwater",Ravensport coast; offshore ruins; gate-incursion waters; Azure Sea caves,Planar or gate-established raider,None or Low,"Physical body, weapons, and swimming function normally.",2-4,Ravensport,Strong harpoon pull; amphibious; intelligent coordinated tactics,Very slow on land; weak mental defenses; visible large target,None,None,None,None,Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,"Magical orders, remote control, or supernatural communication with a master are severed.",DM determines encounter-specific exceptions.
Mimic,Planar and Escaped/Captured and Transported Monstrosities,planar_and_magical,catalog/planar_and_magical/Captured_and_Transported_Monstrosities.md,mimic,5e and 5.5e,Basic Rules (2014),2,Medium,Monstrosity,12,58,15 ft.,17,12,15,5,13,8,"Underground, urban",Ravensport cargo; auction escape; gate equipment disguise,Escaped specimen,None,Functions normally; shapechange is treated as physical.,2-4,Ravensport; Ironforge,False Appearance; Adhesive; advantage on attacks against adhered targets; acid immunity,"Very slow; low AC, Dexterity and Intelligence; revealed by careful inspection",None,None,Acid,Prone,Darkvision 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Mud Mephit,Planar and Escaped/Minor Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Minor_Elemental_Gate_Creatures.md,mud-mephit,5e,Monster Manual (2014),1/4,Small,Elemental,11,27,"20 ft., fly 20 ft., swim 20 ft.",8,12,12,9,11,7,"Elemental planes, gate facilities",Sewers; marsh gates; flooded tunnels; damaged waterworks,Planar elemental gate creature,Extreme,Magical elemental body collapses; leaves ordinary mud. Exact timing is set by the DM.,1-3 in groups,Ironforge; Ravensport; Faerindel,Mud breath restrains; death burst; False Appearance; flight/swim mobility,Low AC and damage; body cannot survive a dead zone,None,None,Poison,Poisoned,Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Myconid Adult,"Natural Ecology/Physical Fungi, Myconids, and Predatory Plants",natural_ecology,catalog/natural_ecology/Physical_Fungi_Myconids_and_Predatory_Plants.md,myconid-adult,5e and 5.5e,Monster Manual (2014),1/2,Medium,Plant,12,22,20 ft.,10,10,12,10,13,7,"Underground, fungal colony",Deep caverns; isolated colonies; Deepanvil contacts,Sentient fungal person,Low,Physical body survives. Spore functions are adjudicated individually by the DM.,1-3 or social encounter,Ironforge; Deepanvil,Rapport and pacifying spores; darkvision; intelligent community member,Sunlight Sickness; modest AC and HP; not inherently hostile,None,None,None,None,Darkvision 120 ft.; Passive Perception 11,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,External magical hive or creator links are severed; biological colony relationships remain.,"DM decides which spore effects are biological, psionic, or magical."
Myconid Sprout,"Natural Ecology/Physical Fungi, Myconids, and Predatory Plants",natural_ecology,catalog/natural_ecology/Physical_Fungi_Myconids_and_Predatory_Plants.md,myconid-sprout,5e and 5.5e,Monster Manual (2014),0,Small,Plant,10,7,10 ft.,8,10,10,8,11,5,"Underground, fungal colony",Deepanvil caverns; remote mushroom forests; gate-migrant colonies,Sentient fungal person,Low,Physical body survives. Spore functions are adjudicated individually by the DM.,Noncombatant or level 1 complication,Ironforge; Deepanvil,Rapport spores; colony communication; darkvision,Sunlight Sickness; low HP; normally a child or noncombatant,None,None,None,None,Darkvision 120 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,External magical hive or creator links are severed; biological colony relationships remain.,"DM decides which spore effects are biological, psionic, or magical."
Needle Blight,Planar and Escaped/Magically Sustained Plants and Blights,planar_and_magical,catalog/planar_and_magical/Magically_Sustained_Plants_and_Blights.md,needle-blight,Both,Monster Manual (2014),1/4,Medium,Plant,12,11,30 ft.,12,12,13,4,8,3,Forest,Forest edges; ruined gardens; containment failures,Magically animated hostile plant,Extreme,Magical life and animation cease; the creature withers and dies. Exact death timing is set by the DM.,Varies by CR,Faerindel,Ranged needle attack; blindsight; group skirmisher,Low HP and mental scores; fire vulnerability,Fire,None,None,None,Blindsight or normal senses as published; verify selected version.,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, awakening, tree-bond, or animating connections are severed immediately.",DM decides death timing and whether a core radius can sustain or restore it.
Oaken Bolter,Planar and Escaped/Clockwork Construct Adaptation Chassis,constructs_and_animated,catalog/constructs_and_animated/Clockwork_Construct_Adaptation_Chassis.md,oaken-bolter,5e,Mordenkainen Presents: Monsters of the Multiverse,5,Medium,Construct,16,58,30 ft.,12,18,15,3,10,1,"Constructed, workshop, facility",Ironforge; Deepanvil; imported gate machinery,Official magical construct and possible chassis for a separate nonmagical Elyndrian variant,Extreme in official form,Official magical version becomes inert. A separately approved mechanical variant may function normally.,Varies by CR,Ironforge; Deepanvil,Strong ranged chassis; harpoon and explosive ammunition concepts; high Dexterity,Low Intelligence and Charisma; special ammunition may be magical,None,None,"Poison, Psychic","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Darkvision 60 ft.; Passive Perception 10,Supplement planning chassis; verify exact owned D&D Beyond version before use.,Official version is not self-sustaining; a redesigned mechanical variant may be.,Official magical command and creator connections are severed. Mechanical programming would require a separate approved entry.,DM approval is required before treating any adaptation as nonmagical.
Ochre Jelly,Natural Ecology/Approved Nonmagical Oozes,natural_ecology,catalog/natural_ecology/Approved_Nonmagical_Oozes.md,ochre-jelly,5e and 5.5e,Basic Rules (2014),2,Large,Ooze,8,45,"10 ft., climb 10 ft.",15,6,14,2,6,1,"Underground, sewer, ruin",Mines; sewers; abandoned facilities; industrial drains; deep caverns,Approved unintelligent nonmagical organism,None,"Functions normally. Acid, engulfing, splitting, and corrosion are physical unless the DM rules a particular version otherwise.",2-4,Ironforge; Ravensport; Deepanvil,Spider Climb; splits when struck by lightning or slashing; amorphous,Very slow; low AC and mental scores,None,Acid,"Lightning, Slashing","Blinded, Charmed, Deafened, Exhaustion, Frightened, Prone",Blindsight 60 ft. (blind beyond); Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None; oozes have no creator connection unless a specific encounter adds one.,DM determines encounter-specific exceptions.
Panther,Natural Wildlife/Southern-Plains Wildlife,natural_ecology,catalog/natural_ecology/Southern_Plains_Wildlife.md,panther,5e and 5.5e,Basic Rules (2014),1/4,Medium,Beast,12,13,"50 ft., climb 40 ft.",14,15,10,3,14,7,"Forest, hill",Southern light forests; river valleys; wooded hills,Natural,None,Functions normally.,1-2,Faerindel; Ravensport,Pounce; advantage on smell Perception; excellent Stealth and climbing,Low HP and Constitution; weak in open terrain,None,None,None,None,Passive Perception 14,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
